e176_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e176_selection_sha256,e176_column_unseen_sha256,target_stratum,e176_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_e174_targets,selection_used_expression_effect_error_or_prior_outcome
11,H01,11,ENSG00000126522,ASL,2,ASL-1+ASL-2,True,ASL,True,True,ASL,True,True,1616b37e565f15d8519e5c1ec0521e9662d52c3c11b39d03d4297273198b294b,6d7a547b5bf435da192a53ce02f47ce48cdc81c9992432d220ef551a7f358f2b,01b5ff2327ba9e59fa5036e29edc91f59d34d5aa209f0b75c3fa19b1932e883c,ba7f6c219fb49c7a3e4e3af00b192ff86d6c53672d1dec126d9bda7980609246,DONOR_UNSEEN_ONLY,df05300ff07015b5bf42c707e86c8886b655cc070fd4c7ffd6fea92e6e31253e,EVALUATION_80PCT,6,True,False
12,H01,12,ENSG00000125730,C3,2,C3-1+C3-2,True,C3,True,True,C3,True,True,2ef4a7c783692ba104f0a1c5cb4cd88e09ee7035385a33f5e20183e904f3cc36,e01006700d420cd1e2ebede4012591e3f38380b3181200e212e203565d024ce7,01d5e4c4c8a9542d21b49f19a31910dcbedfb47a51d7ecabfadd100bef8477bc,edec4884776dc63e0d870cea862095321ca51c948f3f67ecf43f0eaebdacdd7a,DONOR_UNSEEN_ONLY,7e13cd8fc26b99d1a4eafcea952f58b2651ac54edeb222099053b3cea22d4891,EVALUATION_80PCT,6,True,False
13,H01,13,ENSG00000005884,ITGA3,2,ITGA3-1+ITGA3-2,True,ITGA3,True,True,ITGA3,True,True,ffca7b9dad982fe3c25f67096b4ad34f5a3cc9162811bdacedd14b1947bf50c1,99a85d0363144507c2faa6bffe6eeac85be1de8a60ad5a6663fd216b66584471,01e81a2428cbc9d34aa553086888ded8ad4cf6ef85f457c8c2f558c9f6ce5410,81a6186a3c469e68571ded70605dcf63fea62c2e9bb6bf1fec911725e44837d9,DONOR_UNSEEN_ONLY,a1f5b4d4dc2509236121aab925e9b758948d35eaa16e9216bf8d6230427a5a01,EVALUATION_80PCT,6,True,False
14,H01,14,ENSG00000167112,TRUB2,2,TRUB2-1+TRUB2-2,True,TRUB2,True,True,TRUB2,True,True,cb69f17917ecb080d17cd01ab0185256f6f6a91ffecaabed0d27ad21858dda54,5618cc50fb61910d29e1440aefffe68015fdacf48aa574bc515c8646a8764484,020608a08e1ac423c080f260864545f7c79385cb85de627d3b3c430a4a1bd98d,a6843462d5e34576041b0b48fd895cdc0ac67679aa8b510c69358fec5720b3cb,DONOR_UNSEEN_ONLY,ca1763632e11cb0d2d6df0e686a8cef00b4bfddd363a8171b3d6e56dd036e64f,EVALUATION_80PCT,6,True,False
15,H01,15,ENSG00000243056,EIF4EBP3,2,EIF4EBP3-1+EIF4EBP3-2,True,EIF4EBP3,True,True,EIF4EBP3,True,True,a477f38e32feda72189cc6d74291290d3646f9252e24c67f3e9391b814cc1bfc,b911e2d6f272f2d63ad6c006893a876383c3d00bba120943f3833606eb9577be,0208dd164ba2d1be941fecfee4d8f71328f0b27196c8445d26eaed469eb8f549,556eff39d39ec21864a797d9ed0d7c2ed279426aee81b4d64f9d104ba19f5eaa,DONOR_UNSEEN_ONLY,8b2dbe07b3ffcbfce9b4cd604be9027f5a7ac80afd06418b7d3f0ba1b8c00193,EVALUATION_80PCT,6,True,False
16,H01,16,ENSG00000125459,MSTO1,2,MSTO1-1+MSTO1-2,True,MSTO1,True,True,MSTO1,True,True,46342e44075047eae476402d5fb39c6291562d86ce255d32a49df02d7c54a21e,8f82bc01573b777ff2e02703e18e8be2f72eb1ec627456fdc67811ba3fb8bc5e,020a7135b7bcbea8418b30525365b873e6dc68205d3a984d38cb7a952d0e19e7,43d1651c0421fca350bce1b92dbae4d5ccaace48c6a1230a53e6991611760825,COLUMN_UNSEEN,87cb7ce617bee686d607115c6e48528e5d9fc102048b1159a707472270e6e187,EVALUATION_80PCT,0,True,False
17,H01,17,ENSG00000103222,ABCC1,2,ABCC1-1+ABCC1-2,True,ABCC1,True,True,ABCC1,True,True,21cba3f2a780a01e7d92711f6fb0a5d4787bba2ce49655af20abf4e96e854978,966dfb585ce25176b1410c0792727f957b4d438d3ebd05474fc01519bfaaf8cd,020fb9855e5be1957d05c137e78c005bd3c950d5a19335319aa4e9607d1265f2,340f2f168d0567c5de761def727d9b66563330ad4ad762f7094f20ccc865470c,COLUMN_UNSEEN,2c7ff57481813046b7102e4e0ef517ead65bcd28199ec27f085cff8df98e69dc,EVALUATION_80PCT,0,True,False
18,H01,18,ENSG00000097033,SH3GLB1,2,SH3GLB1-1+SH3GLB1-2,True,SH3GLB1,True,True,SH3GLB1,True,True,b5ff2477540d064979b2cff2ca6e66ff72a666920c38e3cd00554638d0c52e32,14bf831b1a455f9703939c2b3805446ffddfb9845383fdacabe736e1808dc6eb,0245379fe0fcabba0a0944c06bbfabaa15cfb13161a1bae51aef353e37f21898,f18e0f098ea33ecce3cc724c79204c96b128c6c63d0a1a20b9bf9a0c192ac4db,DONOR_UNSEEN_ONLY,e57b3d4ebfa4b1c4fd3a0940852a71b793ad8e82122c8484d05a84052d5c1b2e,EVALUATION_80PCT,6,True,False
19,H01,19,ENSG00000138193,PLCE1,2,PLCE1-1+PLCE1-2,True,PLCE1,True,True,PLCE1,True,True,db0af604ea13205f66502005ecfa031b9a4d25eb8f4860df013595a20b591f84,6f9cb9c27408808423b08a70c55ccf560da95d53b5da2d96c67ab12667b7f1cf,0275a08ad396a5599a77c4d4251085d7a0e12393a1a2963dfa033bddb07389a2,e06023ced6599ef63e683f3c9f6b1153a11c3526d41337c60261cdde6394b5ca,DONOR_UNSEEN_ONLY,1fc996dcf324ba2b9580db9f9a54c4c0238722d6d776298a914e7e5ee96a52a5,CALIBRATION_20PCT,6,True,False
20,H01,20,ENSG00000170946,DNAJC24,2,DNAJC24-1+DNAJC24-2,True,DNAJC24,True,True,DNAJC24,True,True,abdc5db3980c7183d4847c7c5a9bc057d117ccd64c437079c5d211acda2552d2,4e2f5f95974ab5c33c7ebc4d5688edb470c7295f981ed98d8659e8ebd04052a4,02a015afc7e378ff2363cc0171965a33e6bba70e47b1b42c1beb0143c887384a,50f6189162e06eda81e6912e59a774c549e815a022f8aa3a434f391deb43a4c0,DONOR_UNSEEN_ONLY,818457f7416c112b41ec982bc199b6fc1b0c3dfe443cd11d11fdba9bc41dd407,EVALUATION_80PCT,6,True,False
21,H01,21,ENSG00000198467,TPM2,2,TPM2-1+TPM2-2,True,TPM2,True,True,TPM2,True,True,c9296ccd8076e340d1d80d500a800ec39e486cf481fc37d5de41177262730e33,c19786911f8f66175236125ca5803612661b9f638d0274722afe0b3586c9a492,02a4ba015cfc781d236ff518af2fe5c207b9f4a87df0d655bbe2b09aa772a655,3c999cced5cf22890e575466b0c9904f8831373b22c22439817a90034b26d362,COLUMN_UNSEEN,7df7df2af11258bae351fd1aef47fa08800a04dc1c51020c6c6f9c25e23e85ec,EVALUATION_80PCT,0,True,False
22,H01,22,ENSG00000143653,SCCPDH,2,SCCPDH-1+SCCPDH-2,True,SCCPDH,True,True,SCCPDH,True,True,dd76d1dd94087d7c2a227b0260b58551f01920ef0a2e83e404276a3ed7c32865,0fb1becec326e2c1394c96b2ba787a6d8ac90f4ae5fcec52cc359fdc23f6f500,02ab3c86ad9521c46b952e3606b4e18ea5a66e36bef3c8c87c9c4f625f7d2f5e,2e48ffa3c857430a3fbdcc981b1aad2ce91cbb60b920537bb3fccd71110f8052,COLUMN_UNSEEN,6fe6e225030a938fb6684425dde53ea8610e96d4615d00c7fec883bcdfe0751d,EVALUATION_80PCT,0,True,False
23,H01,23,ENSG00000172893,DHCR7,2,DHCR7-1+DHCR7-2,True,DHCR7,True,True,DHCR7,True,True,d7d6010503f738c856f07d3d5e3a7f11f440b8dadea1cae60a1b02cc39e63357,0a6c9c9dc8edf7a0e9de8f0943bbf6dc1364fa09b1a5f0fb9defc4e4bac10cf6,02bb7ac99346a928d2bc4881aecced8214e14eb69bf91bf03241c57ced0d715a,407d2ef434e0a4ef4a6e9abe54a7689d06d0b0e8f3be70549505de69caf13ee1,COLUMN_UNSEEN,1a138cd4847e814fb679664739e0a83b617c9806e4eba0987b6c37e084c33393,CALIBRATION_20PCT,0,True,False
24,H01,24,ENSG00000272602,ZNF595,2,ZNF595-1+ZNF595-2,True,ZNF595,True,True,ZNF595,True,True,ef03867d4ca055e32eedcc52bb6fe1efc7e721a1770d441124cee38522857a1a,7eaf717f037e2967e4ef1154d3d0bfb20a5831f53adb5fe84d954326110392bf,02ce2e598f00edcd8bbf24186824edc269500788447e19c5fe0b03cc19592ee4,6009382c03961b86c72e43253435c62850862b38052d26468b09e4e77ea79d6c,DONOR_UNSEEN_ONLY,e054e3a325e16f8d84716e7af20fc0b3c68714400e40c3a03e420dfafe177122,EVALUATION_80PCT,6,True,False
25,H01,25,ENSG00000197948,FCHSD1,2,FCHSD1-1+FCHSD1-2,True,FCHSD1,True,True,FCHSD1,True,True,4f5ae86e28bd0966c1cfc719d16bb9131895a182ebe63d39172b3139c3d560b7,939cc8776d9fe4b3c82a585bbc8a8d412fd62c93bbf73133dc8de95869511248,02e2c3bbda7d7b8561e63a79ea6bda8c59cc053200c5c8cbe6f1c119076184e7,11ba53bb92a25c4c9df81842dbf8a7a72c8554cbb9a8188e3c9b6ac67ad91ebb,COLUMN_UNSEEN,d1f29079c50fcc76cfa2052602824a975abcff8c061b6a96a195fddf090a3bb6,EVALUATION_80PCT,0,True,False
26,H01,26,ENSG00000129071,MBD4,2,MBD4-1+MBD4-2,True,MBD4,True,True,MBD4,True,True,bde08ad0a8265a939adbeabf093b0da0e2e6e9d1ccb218dfcd7edc5c2e5ae88f,aef2dd213ab35e2c425bcc6eaa3811de6a99af009d59ec2a6f5676d75b7aaf45,02f88221d64b8a6b75f6425b46367b6c932edd3e74971f1b7696e40168c0bac2,ffa154e43ee5b02a522ba452b12f0511061cc6054bb27e7de62308ed5c26aa2a,DONOR_UNSEEN_ONLY,249ec38919ff9bc772914de7aca726c2eac2eae8c0934909d48e151ed263465f,CALIBRATION_20PCT,6,True,False
27,H01,27,ENSG00000169403,PTAFR,2,PTAFR-1+PTAFR-2,True,PTAFR,True,True,PTAFR,True,True,5c80396d1a4f9a282e0c7543de27d6f3517b82f19817ae79366284a0eca63838,cb8ae741133ec2502f5c28b9ad66093c828efe44e723edf56c139228e3de764d,03315803afe75e30f30a9d1271a6e1111d75fafbeea35e039473ad7f88b96f67,87340477a97101b779cf4b6c3e370c85ecd645d82cb455f248d84f181eba200f,DONOR_UNSEEN_ONLY,7a2a2c27afc1d85bbfa9f29196abc1e104e51dd30d7a539d9ee4af9dc5610c3f,EVALUATION_80PCT,6,True,False
28,H01,28,ENSG00000117640,MTFR1L,2,MTFR1L-1+MTFR1L-2,True,MTFR1L,True,True,MTFR1L,True,True,c051f6e6746ee1fedb3703e544d3c5c1b1f357a4d5b98109d961ad6cadff6ecb,1da4728fef9f0fab9c6cd603e882f16ea53d66c15a12c9ff507aa9828baa6488,033efe3d9bd4f3e9bcab9928653d24ea089cf11f40db90bf7b9eb79733ea3d1f,869fde10bffe80f7db649a11c6cd4ad79791f38f75d46673c6be2cd71224039e,DONOR_UNSEEN_ONLY,45d5b0b31d95bd4b94aa69ce39b52ef252af46f3aef0108b0035e51022b812c4,EVALUATION_80PCT,6,True,False
29,H01,29,ENSG00000118961,LDAH,2,LDAH-1+LDAH-2,True,LDAH,True,True,LDAH,True,True,34dbe670cf2701d5e0e88fc45c12117645aaf6d78cefdeff05c33718fe7a49c7,0d6bdbf51696a01dee65db3bf2cdca0a2f9ab5515aa2ff34e8e0feed55207199,03679e47dc82a5f3dba7a78d915fea790460c0d2d7090adf887705da5b6333b0,a818387928549e1e27878e0849e40f03c296391caf0587af481f0f023db9bdb9,DONOR_UNSEEN_ONLY,7e23029e18a29c955854715394313caae30aa3cefcdc61d6212110aaa28dc258,EVALUATION_80PCT,6,True,False
30,H01,30,ENSG00000167625,ZNF526,2,ZNF526-1+ZNF526-2,True,ZNF526,True,True,ZNF526,True,True,e9e0c4a0490afefde3027bab9668956d01f3fc43b891e9ff10c9e1edea1b1899,b64a7654f7fd9e8811d32070bbe1a045640fcf4e4af3a5d2c47b04174d55e91e,037d31ec049d22784ba57d607befc549506757da32665ed6e9c14577cad85afd,c3b8c2d1ec045c04e6fde543d68828939b7454768ffe111bddda5160d37f645f,DONOR_UNSEEN_ONLY,3bcd6bc8473f2f41039a44c6c51a1348dbf042ce53373518fe118c8443633592,CALIBRATION_20PCT,6,True,False
31,H01,31,ENSG00000057757,PITHD1,2,PITHD1-1+PITHD1-2,True,PITHD1,True,True,PITHD1,True,True,ba44b5c744c8a4617d7ba12349ecdf9f6d21ef5d9d647199edcc79dd73ff7e6d,83b0482e7ba1d4fa6463d4db813a7ed2ec0e3a13af8efa310849b2910ec3f47a,0383438fbde7a681e9d37d20e9364c39a054f5397f0f4d7f56db8caa6e55d5de,4d794507d430419f0fd7dc41cf9a28f2fbaea1a516f14bf5b05389ef8475fb6c,DONOR_UNSEEN_ONLY,c81d3c1d82a3d7c0ee63afe43c26948f36199d9e1db773c0935b9110f6b15779,EVALUATION_80PCT,6,True,False
32,H01,32,ENSG00000101417,PXMP4,2,PXMP4-1+PXMP4-2,True,PXMP4,True,True,PXMP4,True,True,cce5173b3d26804cc5755a57f4768e521ef9da59de3869c1e9b6b7d292cba002,0c801feb2e0144a29d7061899abcc4c75a1771a3df1298a396e77b536778150d,03952019ea3296fd34537f72c002a2935c9af46805b370b04b6347a0f81a3b8d,69f292d402c3342a829c01a9d69100a40888fa4c82b3c61f7481bab3691882d5,DONOR_UNSEEN_ONLY,1cb6ffda8c270a14d46e9f8f003072f6734d721c969d41fb04c167e180347675,CALIBRATION_20PCT,6,True,False
33,H01,33,ENSG00000119844,AFTPH,2,AFTPH-1+AFTPH-2,True,AFTPH,True,True,AFTPH,True,True,d1b0fc2a66ec3297c3d7f0efde7c83802772631f73225e5cd8f059415730a8e9,bff18be8b8d83ca1599792323f8935d5b493598d9f8a02fa6259600474c40f45,039cedc2267e5f2c29d7a8413c4d3c2aa8cb617b96d65ac30dd5972fc6123266,a7ee294181a9e7cc6dbd92eaf490544af023910b2b278e34d8ad3024588406f6,DONOR_UNSEEN_ONLY,ef093e9aa2aa0a9d43c1c748e5b20b5b5d35f3851f3276bb8149f0f958c75200,EVALUATION_80PCT,6,True,False
34,H01,34,ENSG00000130159,ECSIT,2,ECSIT-1+ECSIT-2,True,ECSIT,True,True,ECSIT,True,True,e603813d2ad597c41e98063a3d6643f6619912c4761fec5d8a7bf71b8315b7a8,c1cc6c8269cb700c675d28d2f4a8b90a62f259046a949822aa23041a08a9ab27,039d98252c268f41847306b2cb850eade1d455fef5eda5c41fb0d6c43b84f09b,f122dddcb377be9310b81e43a58d7f43600884dea9bad3601efc2cecef46cda9,DONOR_UNSEEN_ONLY,daf72c308190b38606d0bbdc01dc40406cb652b421749b045aa23dcc1659e5b4,EVALUATION_80PCT,6,True,False
35,H01,35,ENSG00000157764,BRAF,2,BRAF-1+BRAF-2,True,BRAF,True,True,BRAF,True,True,b96df8607c9ea449ed2457a8afe134dca44dd284e281362eb7af8c5740a74898,3e980e264d2d87511c7cfad931e6bf646b74b30c542e4e5bcc87d639d8d0b850,03a348ec5dc882832e6758960e20b7374d90f427eb9a0789fc1fd1de3e8476c4,7d5fdb408f1a763801e87c02d77f6201599346f70c857ae758319d59a125339d,DONOR_UNSEEN_ONLY,1bbfdd5b418cd4ae35c6d3a4e07d080b921fcd69ef5243c64cf9d3b01a02df26,CALIBRATION_20PCT,6,True,False
36,H01,36,ENSG00000159917,ZNF235,2,ZNF235-1+ZNF235-2,True,ZNF235,True,True,ZNF235,True,True,b797a62049bd9e070d92cd661f99b61babd6bc0dde04f84a44c3915cfb9cf0eb,12cd9524031932df80b67614f2c416fc7d5f10e07f3a84119b528ac0d5063bd6,03ddb783d7e3b393521cd8699433f7091a3e4d38df9f96a77444a97892e30870,4fb72c87e8909e696ca01ee40ab20a8593a542c229e349509c3f128091aea0e3,DONOR_UNSEEN_ONLY,1a6663e734b3c368ab3faa2942844bb5f8858b2f5b0576f6a912a1f2a89417cf,CALIBRATION_20PCT,6,True,False
37,H01,37,ENSG00000140525,FANCI,2,FANCI-1+FANCI-2,True,FANCI,True,True,FANCI,True,True,6f5c514e1e169f711b05c190ce2dc40ca1b5fc37bb4496b84787e145af7f1d41,a48dc95be054ae71d37d5a44f93cdb741867e7664d70adaab878fb7db50e1e11,03df04a65b64caa0c24b880cde50b0e124501cb505547e36357213156c9ea226,17c1b644a37e998f4642497976f5e893f629a49197808e2d5f5ee343812b7f3b,COLUMN_UNSEEN,16aa33d06c933495d1dbc1954e8a49aa8bee2ac91dd1c4387a518b8dd144d692,CALIBRATION_20PCT,0,True,False
38,H01,38,ENSG00000215252,GOLGA8B,2,GOLGA8B-1+GOLGA8B-2,True,GOLGA8B,True,True,GOLGA8B,True,True,84c4ba6e427197c5ebf8efc0b9223880260f8936a306591b2408ad7bfd877815,977e282fa23e78ca51072c606273a1b921d2c67357cdee208b37030bc8a0842d,03fab9eabfcecee2ef01e5de9913c654f68d8502d709f824017ea75cf7c69259,37786db73bcaaf6bc10bb9bcb59c34168c722e7f2595d58702f8ec24b8d5b205,COLUMN_UNSEEN,afe41b970df65b3f5aaa9bcdd9cfc92936ef4eed9c607e6aa11aed746967cd82,EVALUATION_80PCT,0,True,False
39,H01,39,ENSG00000121904,CSMD2,2,CSMD2-1+CSMD2-2,True,CSMD2,True,True,CSMD2,True,True,ebd61f14cff545d8b215b4ae8eb5bb09d0ecfdd93fbf9b9e37caf68ab94eb09f,7c197f8bd26cd3d724cc6d57a0e1d36f28f9c0853f82f3e116c7c30a9f82b03a,0412177e592b439e944da7bc083d5104c5643f136cc342ba27b558bf28a1bef7,f58f26780ae0d8e59b27dc748057591121e7cd6a5643b602a8ef9c4883faf894,DONOR_UNSEEN_ONLY,d4099f722941a9067d9267b52817181612fe2e0d725a9f7edc43241bb356fff9,EVALUATION_80PCT,6,True,False
40,H01,40,ENSG00000010322,NISCH,2,NISCH-1+NISCH-2,True,NISCH,True,True,NISCH,True,True,cba6cbb64538d52f719ca41b4a7b8279bc1bfa2d9eb9da4367029f553f2363df,292fb31808a825f22636a8243d52532a0309b4f80517208e32db146f95c5ed86,0423bf4a4feed7d2d5b11cedbcbcd9643dc7252771c506c2fd5e36a4a40ebe2a,635cc8acec69209365d96b56b23aa1fd8933129d9d21675f0f34d9a7c5fc0f48,DONOR_UNSEEN_ONLY,4e11941edc64d85bb06df53aacfc2373d8c9c39e90dc1626cba910c953ce2bba,EVALUATION_80PCT,6,True,False
41,H01,41,ENSG00000158062,UBXN11,2,UBXN11-1+UBXN11-2,True,UBXN11,True,True,UBXN11,True,True,b9aaf822efd54e8bc8d80acda986567ec33ad31eaf2967050f3c3f4f120ef68d,0a24d35ade2a0cb59fd3d29f5b2bbdad95f2b0d4e8f861322111726c881c463e,042c40527afa20da97de8e2d526c7ba06f20d81c01c6e18fb70cf98abc870278,cdf9847091672e1716b8df32f5a7cf6e38e20bae446fc66d2a3b648a29e77236,DONOR_UNSEEN_ONLY,41deb64441d6dd3c6f7b374044fcd11766d20aa03a8bdb65050d18a9b6dc1837,EVALUATION_80PCT,6,True,False
42,H01,42,ENSG00000048828,FAM120A,2,FAM120A-1+FAM120A-2,True,FAM120A,True,True,FAM120A,True,True,76ec578eb75d3470a6cb8faa42f63223189aa0452b31dfdb8dfa7a886de44101,da085ef96bebfe9e70f58f40eeb03c54110186b08be9213d23f26fca292a344b,0438f1a66fd0686141bc533b5a7769d228b9da9606081f342f5270a36c217e7a,68d5dff8b5186febdffcb67a6b3afa44fcf4b1b2bbfe73b10cf1eb423112a48a,DONOR_UNSEEN_ONLY,6331d6c3c7445df7427040ac94295fbe9f2ba2aae7b046aa46b1ff06d0c57378,EVALUATION_80PCT,6,True,False
43,H01,43,ENSG00000042088,TDP1,2,TDP1-1+TDP1-2,True,TDP1,True,True,TDP1,True,True,c3cdb3dd51a49bc20959d9b843d4aefd8b17f8fdaaf8958fbd1c1161fc7638dc,68157433858c13b28de858f6515323fdad1614ca6d0c5a813ff8b93ff92d1413,043c99472bbbe894803b891b3d82730007f7cef97f0d7e0949e8090a2d15df18,8177b8df91a71815b4208d7f45766cd0a27104f5113d758d0aa4edadeeb814f5,DONOR_UNSEEN_ONLY,4af208b44d95f07cbad53c7faff45b5ac740b0fce94beb178b986683d1f70cbf,EVALUATION_80PCT,6,True,False
