context,perturbation,is_e149_selected_perturbation,expected_cells_selection,expected_cells_manifest,observed_cells_asset,observed_batches,observed_guide_entities,observed_transcript_groups,coverage_exact_match
K562,MANF,True,142,142,142,46,1,1,True
K562,METTL1,True,208,208,208,47,1,1,True
K562,MIOS,True,163,163,163,45,1,1,True
K562,MMGT1,True,183,183,183,47,1,1,True
K562,MRPL10,True,102,102,102,42,1,1,True
K562,MRPL20,True,120,120,120,43,1,1,True
K562,MRPL39,True,154,154,154,46,1,1,True
K562,MRPL54,True,142,142,142,47,1,1,True
K562,MRPS21,True,146,146,146,47,1,1,True
K562,MRPS7,True,123,123,123,44,1,1,True
K562,MTG2,True,146,146,146,46,1,1,True
K562,NDUFA6,True,169,169,169,45,1,1,True
K562,NDUFS3,True,112,112,112,43,1,1,True
K562,NEDD1,True,142,142,142,48,1,1,True
K562,NUDCD3,True,112,112,112,42,1,1,True
K562,NUP107,True,316,316,316,48,1,1,True
K562,NUP98,True,510,510,510,48,1,1,True
K562,PNISR,True,196,196,196,46,2,2,True
K562,POLR1C,True,187,187,187,47,2,2,True
K562,PPA1,True,143,143,143,46,1,1,True
K562,PPP1CA,True,248,248,248,48,2,2,True
K562,PPP2R1A,True,455,455,455,48,2,2,True
K562,PRELID3B,True,273,273,273,48,1,1,True
K562,PRKRIP1,True,182,182,182,45,2,2,True
K562,PRPF3,True,143,143,143,47,1,1,True
K562,PSMB5,True,270,270,270,48,1,1,True
K562,PSTK,True,379,379,379,48,2,2,True
K562,PTMA,True,152,152,152,45,1,1,True
K562,PTPMT1,True,183,183,183,46,1,1,True
K562,PXN,True,161,161,161,44,1,1,True
K562,QRSL1,True,126,126,126,44,1,1,True
K562,RAC3,True,220,220,220,48,1,1,True
K562,RHOQ,True,185,185,185,48,1,1,True
K562,RNASEH2C,True,102,102,102,43,1,1,True
K562,RPA3,True,208,208,208,48,1,1,True
K562,RPL35A,True,137,137,137,47,1,1,True
K562,RPL7,True,301,301,301,48,1,1,True
K562,RRM2,True,577,577,577,48,1,1,True
K562,RUVBL1,True,211,211,211,48,1,1,True
K562,SART3,True,154,154,154,43,1,1,True
K562,SERBP1,True,109,109,109,45,1,1,True
K562,SETDB1,True,124,124,124,42,1,1,True
K562,SF3A2,True,321,321,321,48,2,2,True
K562,SLC7A5,True,378,378,378,48,1,1,True
K562,SMAGP,True,117,117,117,46,1,1,True
K562,SNW1,True,226,226,226,47,2,2,True
K562,SRSF11,True,437,437,437,48,2,2,True
K562,SRSF7,True,118,118,118,42,1,1,True
K562,SS18L2,True,144,144,144,46,1,1,True
K562,SSBP3,True,107,107,107,42,1,1,True
K562,TACC3,True,132,132,132,45,2,2,True
K562,THOC6,True,116,116,116,41,1,1,True
K562,TIMM13,True,178,178,178,44,1,1,True
K562,TLCD1,True,155,155,155,44,1,1,True
K562,TM7SF2,True,100,100,100,41,1,1,True
K562,TRA2B,True,222,222,222,47,1,1,True
K562,TRNT1,True,203,203,203,47,1,1,True
K562,TSEN34,True,275,275,275,48,1,1,True
K562,TTC4,True,108,108,108,45,1,1,True
K562,TWF1,True,140,140,140,43,1,1,True
K562,UBA2,True,172,172,172,47,1,1,True
K562,UBE2M,True,177,177,177,47,1,1,True
K562,UFL1,True,162,162,162,48,1,1,True
K562,UROD,True,201,201,201,48,1,1,True
K562,USP39,True,220,220,220,47,2,2,True
K562,USP5,True,199,199,199,48,2,2,True
K562,USP9X,True,112,112,112,43,1,1,True
K562,VEZT,True,204,204,204,47,1,1,True
K562,VPS54,True,321,321,321,48,1,1,True
K562,WBP11,True,312,312,312,48,2,2,True
K562,WDR4,True,347,347,347,48,1,1,True
K562,WNK1,True,137,137,137,43,1,1,True
K562,YRDC,True,106,106,106,40,1,1,True
K562,ZBTB17,True,160,160,160,48,1,1,True
RPE1,control,False,,,11485,56,113,1,True
RPE1,ACTR6,True,104,104,104,46,1,1,True
RPE1,ADSL,True,127,127,127,51,1,1,True
RPE1,ANAPC15,True,532,532,532,56,1,1,True
RPE1,ANKRD11,True,165,165,165,53,1,1,True
RPE1,ARL4D,True,145,145,145,51,1,1,True
RPE1,ASF1B,True,162,162,162,55,1,1,True
RPE1,ATP6AP2,True,283,283,283,56,1,1,True
RPE1,ATR,True,161,161,161,52,1,1,True
RPE1,BRIP1,True,110,110,110,47,1,1,True
RPE1,CCNB1,True,108,108,108,47,1,1,True
RPE1,CCNK,True,349,349,349,56,2,2,True
RPE1,CDK2,True,206,206,206,54,1,1,True
RPE1,CHMP6,True,107,107,107,52,1,1,True
RPE1,CHORDC1,True,146,146,146,54,1,1,True
RPE1,CKAP5,True,173,173,173,51,2,2,True
RPE1,COA5,True,135,135,135,49,1,1,True
RPE1,COX6C,True,132,132,132,48,1,1,True
RPE1,CPNE7,True,185,185,185,52,1,1,True
RPE1,CSTF1,True,119,119,119,50,1,1,True
RPE1,CYCS,True,120,120,120,49,1,1,True
RPE1,DAP3,True,142,142,142,54,1,1,True
RPE1,DCAF6,True,133,133,133,53,1,1,True
RPE1,DCTN2,True,102,102,102,48,1,1,True
RPE1,DDX1,True,135,135,135,52,1,1,True
RPE1,DDX19B,True,369,369,369,55,2,2,True
RPE1,DDX5,True,203,203,203,55,1,1,True
RPE1,DNAJA1,True,176,176,176,55,2,2,True
RPE1,DNAJC19,True,127,127,127,52,1,1,True
RPE1,DNM1,True,319,319,319,56,1,1,True
RPE1,DNMT1,True,113,113,113,46,1,1,True
RPE1,DRAP1,True,148,148,148,52,1,1,True
RPE1,DRG1,True,130,130,130,52,1,1,True
RPE1,DYNLRB1,True,242,242,242,56,2,2,True
RPE1,EFTUD2,True,104,104,104,45,1,1,True
RPE1,EIF2B2,True,148,148,148,51,1,1,True
RPE1,EIF2B3,True,104,104,104,50,1,1,True
RPE1,ELOVL1,True,106,106,106,44,1,1,True
RPE1,EMC3,True,153,153,153,50,2,2,True
RPE1,ERAL1,True,129,129,129,50,1,1,True
RPE1,FNBP4,True,116,116,116,49,1,1,True
RPE1,GFM1,True,1699,1699,1699,56,1,1,True
RPE1,GMPPB,True,101,101,101,45,1,1,True
RPE1,GNPNAT1,True,189,189,189,55,1,1,True
RPE1,GON4L,True,122,122,122,51,2,2,True
RPE1,GRPEL1,True,101,101,101,46,1,1,True
RPE1,GRSF1,True,133,133,133,51,1,1,True
RPE1,GUK1,True,138,138,138,53,1,1,True
RPE1,HMGB1,True,133,133,133,53,2,2,True
RPE1,HSP90B1,True,144,144,144,50,1,1,True
RPE1,HSPA8,True,148,148,148,54,1,1,True
RPE1,ISCA2,True,146,146,146,51,1,1,True
RPE1,KPNB1,True,210,210,210,55,1,1,True
RPE1,LAMTOR4,True,131,131,131,51,1,1,True
RPE1,LIN54,True,163,163,163,54,2,2,True
RPE1,MANF,True,178,178,178,50,1,1,True
RPE1,METTL1,True,105,105,105,47,1,1,True
RPE1,MIOS,True,131,131,131,50,1,1,True
RPE1,MMGT1,True,107,107,107,49,1,1,True
RPE1,MRPL10,True,118,118,118,50,1,1,True
RPE1,MRPL20,True,109,109,109,46,1,1,True
RPE1,MRPL39,True,286,286,286,56,1,1,True
RPE1,MRPL54,True,165,165,165,53,1,1,True
RPE1,MRPS21,True,251,251,251,56,1,1,True
RPE1,MRPS7,True,118,118,118,47,1,1,True
RPE1,MTG2,True,215,215,215,56,1,1,True
RPE1,NDUFA6,True,110,110,110,51,1,1,True
RPE1,NDUFS3,True,120,120,120,51,1,1,True
RPE1,NEDD1,True,151,151,151,52,1,1,True
RPE1,NUDCD3,True,134,134,134,50,1,1,True
RPE1,NUP107,True,143,143,143,51,1,1,True
RPE1,NUP98,True,106,106,106,50,1,1,True
RPE1,PNISR,True,152,152,152,53,2,2,True
RPE1,POLR1C,True,233,233,233,55,2,2,True
RPE1,PPA1,True,145,145,145,53,1,1,True
RPE1,PPP1CA,True,177,177,177,54,2,2,True
RPE1,PPP2R1A,True,296,296,296,56,2,2,True
RPE1,PRELID3B,True,132,132,132,52,1,1,True
RPE1,PRKRIP1,True,186,186,186,55,2,2,True
RPE1,PRPF3,True,113,113,113,49,1,1,True
RPE1,PSMB5,True,147,147,147,52,1,1,True
RPE1,PSTK,True,287,287,287,55,2,2,True
RPE1,PTMA,True,190,190,190,54,1,1,True
RPE1,PTPMT1,True,103,103,103,48,1,1,True
RPE1,PXN,True,150,150,150,53,1,1,True
RPE1,QRSL1,True,199,199,199,53,1,1,True
RPE1,RAC3,True,130,130,130,50,1,1,True
RPE1,RHOQ,True,347,347,347,56,1,1,True
RPE1,RNASEH2C,True,144,144,144,52,1,1,True
RPE1,RPA3,True,110,110,110,44,1,1,True
RPE1,RPL35A,True,112,112,112,50,1,1,True
RPE1,RPL7,True,122,122,122,47,1,1,True
RPE1,RRM2,True,229,229,229,54,1,1,True
RPE1,RUVBL1,True,119,119,119,46,1,1,True
RPE1,SART3,True,240,240,240,55,1,1,True
RPE1,SERBP1,True,102,102,102,44,1,1,True
RPE1,SETDB1,True,122,122,122,48,1,1,True
RPE1,SF3A2,True,156,156,156,53,2,2,True
RPE1,SLC7A5,True,253,253,253,54,1,1,True
RPE1,SMAGP,True,176,176,176,56,1,1,True
RPE1,SNW1,True,192,192,192,56,2,2,True
RPE1,SRSF11,True,317,317,317,56,2,2,True
RPE1,SRSF7,True,151,151,151,52,1,1,True
RPE1,SS18L2,True,166,166,166,51,1,1,True
RPE1,SSBP3,True,447,447,447,56,1,1,True
RPE1,TACC3,True,594,594,594,56,2,2,True
RPE1,THOC6,True,146,146,146,53,1,1,True
RPE1,TIMM13,True,123,123,123,49,1,1,True
RPE1,TLCD1,True,131,131,131,51,1,1,True
RPE1,TM7SF2,True,160,160,160,51,1,1,True
RPE1,TRA2B,True,100,100,100,47,1,1,True
RPE1,TRNT1,True,354,354,354,56,1,1,True
RPE1,TSEN34,True,176,176,176,54,1,1,True
RPE1,TTC4,True,125,125,125,50,1,1,True
RPE1,TWF1,True,686,686,686,56,1,1,True
RPE1,UBA2,True,156,156,156,53,1,1,True
RPE1,UBE2M,True,279,279,279,54,1,1,True
RPE1,UFL1,True,115,115,115,49,1,1,True
RPE1,UROD,True,250,250,250,55,1,1,True
RPE1,USP39,True,122,122,122,47,2,2,True
RPE1,USP5,True,174,174,174,53,2,2,True
RPE1,USP9X,True,125,125,125,49,1,1,True
RPE1,VEZT,True,111,111,111,45,1,1,True
RPE1,VPS54,True,232,232,232,55,1,1,True
RPE1,WBP11,True,168,168,168,48,2,2,True
RPE1,WDR4,True,141,141,141,53,1,1,True
RPE1,WNK1,True,109,109,109,50,1,1,True
RPE1,YRDC,True,281,281,281,55,1,1,True
RPE1,ZBTB17,True,285,285,285,56,3,1,True
