dataset,modality,fold_id,setting,split,n_tasks,min_cells,median_cells
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_4_HSC,random_missing_pair,test,10,134,311.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_4_HSC,source_train_pair,train,76,68,290.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_4_HSC,source_validation_pair,val,10,105,260.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_5_MkP,context_and_perturbation_unseen,test,7,58,170.0
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_5_MkP,context_unseen_row,test,24,74,152.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_5_MkP,perturbation_unseen_column,test,28,73,325.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_5_MkP,random_missing_pair,test,10,205,340.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_5_MkP,source_train_pair,train,76,60,275.5
Lara_exvivo,gene_knockout,Lara_exvivo_context_holdout_5_MkP,source_validation_pair,val,10,138,414.5
Santinha,gene_knockout,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,context_and_perturbation_unseen,test,5,202,375.0
Santinha,gene_knockout,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,context_unseen_row,test,18,168,507.0
Santinha,gene_knockout,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,perturbation_unseen_column,test,20,61,191.0
Santinha,gene_knockout,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,random_missing_pair,test,8,96,267.0
Santinha,gene_knockout,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,source_train_pair,train,56,55,251.0
Santinha,gene_knockout,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,source_validation_pair,val,8,139,422.0
Santinha,gene_knockout,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,context_and_perturbation_unseen,test,5,61,104.0
Santinha,gene_knockout,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,context_unseen_row,test,18,55,138.0
Santinha,gene_knockout,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,perturbation_unseen_column,test,20,98,265.0
Santinha,gene_knockout,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,random_missing_pair,test,8,62,343.5
Santinha,gene_knockout,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,source_train_pair,train,56,106,352.5
Santinha,gene_knockout,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,source_validation_pair,val,8,191,377.0
Santinha,gene_knockout,Santinha_context_holdout_3_Neurons_L_2_3,context_and_perturbation_unseen,test,5,206,271.0
Santinha,gene_knockout,Santinha_context_holdout_3_Neurons_L_2_3,context_unseen_row,test,18,139,428.0
Santinha,gene_knockout,Santinha_context_holdout_3_Neurons_L_2_3,perturbation_unseen_column,test,20,63,259.5
Santinha,gene_knockout,Santinha_context_holdout_3_Neurons_L_2_3,random_missing_pair,test,8,149,327.0
Santinha,gene_knockout,Santinha_context_holdout_3_Neurons_L_2_3,source_train_pair,train,56,55,220.0
Santinha,gene_knockout,Santinha_context_holdout_3_Neurons_L_2_3,source_validation_pair,val,8,135,217.0
Santinha,gene_knockout,Santinha_context_holdout_4_Neurons_L_5,context_and_perturbation_unseen,test,5,165,313.0
Santinha,gene_knockout,Santinha_context_holdout_4_Neurons_L_5,context_unseen_row,test,18,106,333.5
Santinha,gene_knockout,Santinha_context_holdout_4_Neurons_L_5,perturbation_unseen_column,test,20,55,271.5
Santinha,gene_knockout,Santinha_context_holdout_4_Neurons_L_5,random_missing_pair,test,8,103,217.5
Santinha,gene_knockout,Santinha_context_holdout_4_Neurons_L_5,source_train_pair,train,56,55,244.0
Santinha,gene_knockout,Santinha_context_holdout_4_Neurons_L_5,source_validation_pair,val,8,156,455.0
Santinha,gene_knockout,Santinha_context_holdout_5_Neurons_L_6,context_and_perturbation_unseen,test,5,123,191.0
Santinha,gene_knockout,Santinha_context_holdout_5_Neurons_L_6,context_unseen_row,test,18,62,232.0
Santinha,gene_knockout,Santinha_context_holdout_5_Neurons_L_6,perturbation_unseen_column,test,20,80,286.0
Santinha,gene_knockout,Santinha_context_holdout_5_Neurons_L_6,random_missing_pair,test,8,63,323.0
Santinha,gene_knockout,Santinha_context_holdout_5_Neurons_L_6,source_train_pair,train,56,55,362.5
Santinha,gene_knockout,Santinha_context_holdout_5_Neurons_L_6,source_validation_pair,val,8,61,249.0
